epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.05,0.99532,1.11731,1.026,0.92823,0.92308,0.97136,0.77811,0.78838,0.6203,0.9589,0.000664488,0.000664488,0.000664488
2,197.965,0.83633,0.63313,0.97035,0.94144,0.92905,0.97636,0.79801,0.77011,0.57569,0.95869,0.00131798,0.00131798,0.00131798
3,294.877,0.81161,0.56918,0.96621,0.946,0.91808,0.97028,0.7974,0.75263,0.54052,0.96791,0.00195826,0.00195826,0.00195826
4,391.875,0.78262,0.53625,0.95836,0.94346,0.9358,0.97738,0.80495,0.77646,0.51701,0.96107,0.0019406,0.0019406,0.0019406
5,487.092,0.76194,0.50944,0.9544,0.95716,0.93825,0.97948,0.82079,0.68871,0.45583,0.94395,0.0019208,0.0019208,0.0019208
6,583.857,0.75263,0.49824,0.95278,0.95449,0.92354,0.97216,0.81443,0.69735,0.49814,0.94327,0.001901,0.001901,0.001901
7,679.22,0.74021,0.48436,0.94768,0.94754,0.93817,0.9805,0.82447,0.6787,0.44521,0.93919,0.0018812,0.0018812,0.0018812
8,774.506,0.72664,0.46977,0.93972,0.95057,0.93917,0.97886,0.82298,0.68253,0.46904,0.93882,0.0018614,0.0018614,0.0018614
9,869.93,0.7207,0.46812,0.9409,0.9447,0.93705,0.97874,0.81834,0.68579,0.47002,0.93933,0.0018416,0.0018416,0.0018416
10,965.112,0.71456,0.46012,0.93979,0.95276,0.94974,0.98169,0.82913,0.66109,0.43883,0.93573,0.0018218,0.0018218,0.0018218
11,1060.57,0.70257,0.4503,0.93582,0.96122,0.91572,0.97472,0.81548,0.69885,0.49327,0.94488,0.001802,0.001802,0.001802
12,1156.14,0.69763,0.44607,0.9332,0.95283,0.95022,0.98356,0.83398,0.65723,0.41795,0.93296,0.0017822,0.0017822,0.0017822
13,1251.3,0.69537,0.445,0.93381,0.95667,0.93059,0.97733,0.83351,0.64013,0.43065,0.92665,0.0017624,0.0017624,0.0017624
14,1346.89,0.68558,0.43503,0.92962,0.94309,0.94744,0.98013,0.83486,0.65196,0.42617,0.92936,0.0017426,0.0017426,0.0017426
15,1443.4,0.68385,0.43525,0.92838,0.9465,0.93871,0.98049,0.8319,0.64544,0.42277,0.93316,0.0017228,0.0017228,0.0017228
16,1539.31,0.67817,0.43167,0.92739,0.96472,0.95066,0.98326,0.84414,0.62888,0.39702,0.91877,0.001703,0.001703,0.001703
17,1634.4,0.66915,0.42304,0.92381,0.94304,0.94885,0.97834,0.83281,0.65287,0.40041,0.9291,0.0016832,0.0016832,0.0016832
18,1730.21,0.67146,0.42713,0.92572,0.93356,0.94928,0.98074,0.83884,0.64713,0.40704,0.92848,0.0016634,0.0016634,0.0016634
19,1825.5,0.66036,0.41871,0.92196,0.95801,0.95083,0.98556,0.84581,0.6543,0.39502,0.9233,0.0016436,0.0016436,0.0016436
20,1921.89,0.66562,0.41761,0.92306,0.92874,0.95066,0.97439,0.82847,0.65412,0.42385,0.93262,0.0016238,0.0016238,0.0016238
21,2016.63,0.6644,0.41981,0.92373,0.95444,0.95342,0.98438,0.84554,0.64347,0.37413,0.92447,0.001604,0.001604,0.001604
22,2111.99,0.65239,0.41178,0.92075,0.90685,0.93242,0.94881,0.80806,0.68768,0.45331,0.97266,0.0015842,0.0015842,0.0015842
23,2207.36,0.66033,0.40798,0.9203,0.92088,0.931,0.9642,0.81472,0.67662,0.42669,0.95234,0.0015644,0.0015644,0.0015644
24,2302.48,0.65124,0.40548,0.91799,0.94643,0.95019,0.9823,0.84668,0.62546,0.38772,0.91998,0.0015446,0.0015446,0.0015446
25,2399.37,0.64572,0.40332,0.9155,0.93246,0.94667,0.97217,0.82562,0.65485,0.39967,0.94332,0.0015248,0.0015248,0.0015248
26,2494.05,0.63616,0.39847,0.91369,0.89205,0.92942,0.94565,0.79179,0.68475,0.46576,0.96825,0.001505,0.001505,0.001505
27,2586.68,0.64438,0.39893,0.91819,0.96156,0.95158,0.98532,0.84086,0.63133,0.38808,0.92717,0.0014852,0.0014852,0.0014852
28,2679.87,0.64253,0.39865,0.9148,0.95984,0.95584,0.98722,0.85474,0.61888,0.364,0.91513,0.0014654,0.0014654,0.0014654
29,2773,0.63764,0.39609,0.91486,0.9629,0.95495,0.98599,0.85153,0.62008,0.36587,0.91523,0.0014456,0.0014456,0.0014456
30,2866.07,0.63114,0.38887,0.91046,0.96433,0.95681,0.9879,0.85511,0.61381,0.35394,0.91286,0.0014258,0.0014258,0.0014258
31,2959.13,0.62485,0.38736,0.91271,0.95329,0.95847,0.98421,0.85078,0.62543,0.35948,0.91864,0.001406,0.001406,0.001406
32,3073.18,0.63498,0.39113,0.91241,0.90909,0.94698,0.95822,0.81493,0.66779,0.42884,0.95636,0.0013862,0.0013862,0.0013862
33,3173.71,0.62371,0.38463,0.9106,0.95664,0.96047,0.98658,0.85445,0.61762,0.35204,0.91619,0.0013664,0.0013664,0.0013664
34,3271.67,0.62246,0.38369,0.90885,0.91812,0.957,0.96971,0.83061,0.63836,0.4066,0.93116,0.0013466,0.0013466,0.0013466
35,3368.29,0.62694,0.38304,0.9116,0.95259,0.9576,0.98369,0.85141,0.61786,0.35838,0.92208,0.0013268,0.0013268,0.0013268
36,3465.29,0.6195,0.37727,0.90731,0.96738,0.9542,0.98592,0.8554,0.61506,0.35436,0.90762,0.001307,0.001307,0.001307
37,3562.64,0.61802,0.37612,0.90991,0.96813,0.95876,0.98798,0.85733,0.60313,0.33917,0.90901,0.0012872,0.0012872,0.0012872
38,3658.72,0.61425,0.37351,0.90318,0.92878,0.95572,0.97327,0.83849,0.6324,0.3785,0.92902,0.0012674,0.0012674,0.0012674
39,3755.39,0.6192,0.37781,0.90961,0.92681,0.94913,0.96579,0.83287,0.6295,0.3849,0.93028,0.0012476,0.0012476,0.0012476
40,3851.6,0.61426,0.37224,0.90518,0.93887,0.95403,0.97654,0.84442,0.62611,0.36743,0.92181,0.0012278,0.0012278,0.0012278
41,3948.15,0.61497,0.37041,0.90947,0.95217,0.95781,0.98263,0.85503,0.61418,0.3435,0.91822,0.001208,0.001208,0.001208
42,4044.77,0.61177,0.37054,0.90599,0.9108,0.94606,0.96525,0.82804,0.64582,0.3988,0.94105,0.0011882,0.0011882,0.0011882
43,4141.52,0.61228,0.36909,0.90398,0.86214,0.93627,0.9273,0.7842,0.71468,0.48328,0.99619,0.0011684,0.0011684,0.0011684
44,4238.26,0.61162,0.36788,0.90366,0.8663,0.94407,0.92858,0.78444,0.68947,0.47526,0.98317,0.0011486,0.0011486,0.0011486
45,4334.92,0.60358,0.3639,0.90428,0.87047,0.93105,0.9389,0.79783,0.69421,0.46964,0.98747,0.0011288,0.0011288,0.0011288
46,4435.81,0.60605,0.3626,0.90263,0.86922,0.92813,0.92962,0.77533,0.7455,0.51374,1.02624,0.001109,0.001109,0.001109
